name,location,category,tags
독립문,서대문구,1.0,#관광지#교과서속여행#독립문#수도권#역사#역사공부#역사를품은곳
서울 선릉(성종과 정현왕후)과 정릉(중종) [유네스코 세계문화유산],강남구,1.0,#가족여행#관광지#교과서속여행#서울선릉과정릉#아이와함께#역사
용산가족공원,용산구,1.0,#가족여행#걷기여행#관광지#나들이#당일치기여행#사계절#서울근교여행
사육신공원,동작구,1.0,#가족여행#관광지#교과서속여행#당일치기여행#사육신공원#산책코스
도산공원,강남구,1.0,#가족여행#걷기여행#관광지#나들이#당일치기여행#도산공원#사계절
장충단공원,중구,1.0,#가족여행#걷기여행#관광지#나들이#당일치기여행#사계절#서울근교여행
삼청공원,종로구,1.0,#가족여행#걷기여행#관광지#나들이#당일치기여행#사계절#삼청공원
양재 시민의숲,서초구,1.0,#걷기길#관광지#나들이#도심여행#산책길#산책하기#산책하기좋은곳
청계천,중구,1.0,#가족여행#관광지#나들이#데이트코스#드라이브여행#산책길#산책하기
구암공원,강서구,1.0,#걷기길#관광지#교과서속여행#구암공원#나들이#남녀노소#도심여행
서울풍물시장 전통문화체험관,동대문구,1.0,#관광지#도심여행#서울풍물시장#서울풍물시장전통문화체험관#아이와함께
양천구 어린이교통공원,양천구,1.0,#겨울방학가볼만한곳#관광지#교육여행#도심여행#산책길#산책하기
신천 어린이교통공원,송파구,1.0,#가족여행#관광지#교육여행#교육프로그램#당일치기여행#산책하기
청와대 앞길,종로구,1.0,#가족여행#관광지#나홀로여행#당일치기여행#도심여행#사계절#산책길
사가정공원,중랑구,1.0,#걷기길#관광지#나들이#문화시설#사가정공원#산책길#산책하기#산책하기좋은곳
한강시민공원 뚝섬지구(뚝섬한강공원),광진구,1.0,#걷기길#관광지#나들이#도심여행#뚝섬한강공원#야경투어#연인과함께
종묘광장공원,종로구,1.0,#가족여행#걷기여행#관광지#나들이#당일치기여행#봄나들이#사계절
용마폭포공원,중랑구,1.0,#걷기길#관광지#나들이#산책길#산책하기#산책하기좋은곳#수도권
마로니에공원,종로구,1.0,#가족여행#걷기여행#관광지#나들이#당일치기여행#데이트코스#마로니에공원
한강시민공원 망원지구(망원한강공원),마포구,1.0,#걷기길#관광지#나들이#도심여행#망원한강공원#산책길#산책하기
대학로,종로구,1.0,#가족여행#관광지#나홀로여행#당일치기여행#대학로#데이트코스#도심여행
VR스테이션,강남구,1.0,#VR체험#가상현실#관광지#미세먼지_피하는_실내여행#서울데이트#실내관광지
서울 영휘원(순헌황귀비)과 숭인원(이진),동대문구,1.0,#가족여행#관광지#교과서속여행#사찰#산사#서울영휘원과숭인원#아이와함께
더 스파 인 가든파이브,송파구,1.0,#가족여행#관광지#더스파인가든파이브#도심여행#뷰티&스파#아이와함께
서울 암사동 유적,강동구,1.0,#가족여행#관광지#교과서속여행#당일치기여행#서울근교여행#서울암사동유적
홍릉수목원,동대문구,1.0,#가족여행#관광지#꽃여행#당일치기여행#데이트코스#봄꽃여행#서울근교여행
관악산공원 야외식물원,관악구,1.0,#관광지#관악산공원야외식물원#데이트코스#도심여행#아이와함께#연인과함께
서울 명동성당,중구,1.0,#관광지#교과서속여행#나홀로여행#도심여행#명동성당#아이와함께
대한성공회 서울주교좌성당,중구,1.0,#가족여행#관광지#대한성공회서울주교좌성당#성당#수도권#역사공부
이랜드크루즈 (한강유람선),영등포구,1.0,#관광지#도심여행#수도권#야간관광100선#야경투어#연인과함께#연중무휴
문화역 서울 284,중구,1.0,#공간투어#관광지#구서울역사#근대문화유산#근대산업유산#문화역서울284
새남터기념성당,용산구,1.0,#가족여행#관광지#근대문화유산#당일치기여행#새남터기념성당#서울근교여행
챔피언1250,용산구,1.0,#관광지#놀이공간#미세먼지_피하는_실내여행#복합레저스포츠#수도권
홍파동 홍난파 가옥,종로구,1.0,#건축사#건축여행#관광지#근대건축#근대문화유산#등록문화재#서양식
신사동 가로수길,강남구,1.0,#가로수길#관광지#사진촬영#산책길#산책하기#산책하기좋은곳#서울여행
봉천동 마애미륵불좌상,관악구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속
용산성당,용산구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속
개운사(서울),성북구,1.0,#관광지#불교#불교문화#불교사찰#사찰#사찰여행#역사#자연속으로
무악산 동봉수대 터,서대문구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속
서울 용산신학교와 원효로 예수성심성당,용산구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속
당고개순교성지,용산구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속
천호공원,강동구,1.0,#공원#관광지#근린공원#문화시설#산책길#산책코스#산책하기#산책하기좋은곳
서울 양천고성지,강서구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속
우이동 먹거리마을,강북구,1.0,#가을먹거리#관광지#남녀노소#등산객#맛집탐방#먹거리#먹거리투어
청담공원,강남구,1.0,#공원#관광지#산책길#산책코스#산책하기#산책하기좋은곳#아침운동
